dataset,method,ablation,n,mean_abs_auc_delta_to_oracle,mean_mia_gap_delta_to_oracle,mean_runtime_to_oracle,max_abs_auc_delta_to_oracle,official_same_dataset_metric_available
German Credit,FedEraser-proxy,full proxy,9,0.00012886112976281025,-2.8281337428455917e-05,1.0068580099968636,0.00031645569620253333,False
German Credit,FedEraser-proxy,cache-only replay,9,0.010206037813560097,-0.0036786601130706334,0.09210560154531038,0.020226214238190265,False
German Credit,FedRecovery-proxy,full proxy,9,0.0064327236185260555,-0.003909053572840524,0.4040699849074355,0.011075949367088556,False
German Credit,FedRecovery-proxy,no DP-noise perturbation,9,0.006397555228374584,-0.0038518493257406936,0.3808354069743585,0.011392405063291089,False
German Credit,FedRecovery-proxy,one recovery round,9,0.005102316543871709,-0.003962886085059718,0.07952702657722563,0.012658227848101222,False
German Credit,Starfish-proxy,full proxy,9,0.006139222987133159,-0.0038257259713826122,0.39965660488105303,0.012025316455696156,False
German Credit,Starfish-proxy,one repair round,9,0.005156056743862127,-0.004008978350993669,0.07474773304867643,0.012816455696202489,False
German Credit,Starfish-proxy,ten repair rounds,9,0.0074725081014716714,-0.002824983878378768,0.7069737870920385,0.011708860759493622,False
Bank Marketing,FedEraser-proxy,full proxy,9,3.899572300625209e-07,1.6214779877430115e-07,1.0008043823446107,1.2468265295773051e-06,False
Bank Marketing,FedEraser-proxy,cache-only replay,9,0.0009704825407962235,6.7554489767511034e-06,0.023517813293812778,0.002597377151963176,False
Bank Marketing,FedRecovery-proxy,full proxy,9,0.008717627827014364,0.00016818434254473047,0.5078524591155195,0.009675492615224601,False
Bank Marketing,FedRecovery-proxy,no DP-noise perturbation,9,0.008722699334592207,0.00014614987559677693,0.5080244713666139,0.009711234975740335,False
Bank Marketing,FedRecovery-proxy,one recovery round,9,0.0022772459150381705,5.799331580903634e-05,0.1057154032962667,0.003340545136307882,False
Bank Marketing,Starfish-proxy,full proxy,9,0.0077993099591382575,0.00012646858212150835,0.5098855537084427,0.008805801424469628,False
Bank Marketing,Starfish-proxy,one repair round,9,0.002058767884474998,1.79521264716789e-05,0.10002668713083225,0.003213250084902919,False
Bank Marketing,Starfish-proxy,ten repair rounds,9,0.014077093154638922,0.00011535782441094804,1.0246542607063025,0.014974920974947126,False
